province,U_R,COICOP,Products,Weights,Source
11,,,Clothing and footwear,84.07580056287009,Urban
11,,,"Housing, water, electricity, gas and other fuels",91.26050296034474,Urban
11,,,"Furnishing, household equipment and routine household maintenance ",92.53921636237193,Urban
11,,,Health,88.84616911905505,Urban
11,,,Transport,86.57105692185894,Urban
11,,,Communication,109.53123655132853,Urban
11,,,Recreation and culture,95.5727399278098,Urban
11,,,Education,53.18848345055635,Urban
11,,,Restaurants and hotels,85.7430868320767,Urban
11,,,Miscellaneous goods and services,85.91697454333259,Urban
12,,,GENERAL INDEX (CPI),84.37016826098798,Urban
12,,,Food and non-alcoholic beverages,81.26069563629245,Urban
12,,,Bread and cereals ,86.29199285368863,Urban
12,,,Meat,82.16583705547099,Urban
12,,,"Milk, cheese and eggs",64.60533929399367,Urban
12,,,Vegetables ,82.28826587338318,Urban
12,,,Non-alcoholic beverages ,81.12068096860251,Urban
12,,,Alcoholic beverages and tobacco,82.7640395323593,Urban
12,,,Clothing and footwear,85.25766125732471,Urban
12,,,"Housing, water, electricity, gas and other fuels",90.05264016310817,Urban
12,,,"Furnishing, household equipment and routine household maintenance ",92.2776874694711,Urban
12,,,Health,88.5369255733216,Urban
12,,,Transport,86.96047221646616,Urban
12,,,Communication,108.53841455826858,Urban
12,,,Recreation and culture,95.356501908462,Urban
12,,,Education,53.1884840261299,Urban
12,,,Restaurants and hotels,86.48523363597295,Urban
12,,,Miscellaneous goods and services,85.96042937875718,Urban
13,,,GENERAL INDEX (CPI),83.77044080787073,Urban
13,,,Food and non-alcoholic beverages,79.43540204766911,Urban
13,,,Bread and cereals ,87.64736393460907,Urban
13,,,Meat,81.40956695662555,Urban
13,,,"Milk, cheese and eggs",63.52756771378242,Urban
13,,,Vegetables ,76.02531055515927,Urban
13,,,Non-alcoholic beverages ,82.08320042282006,Urban
13,,,Alcoholic beverages and tobacco,83.47830248733398,Urban
13,,,Clothing and footwear,85.150504535872,Urban
13,,,"Housing, water, electricity, gas and other fuels",90.15823282206044,Urban
13,,,"Furnishing, household equipment and routine household maintenance ",91.90810836810361,Urban
13,,,Health,89.24025695108921,Urban
13,,,Transport,86.93765440997103,Urban
13,,,Communication,108.98164936480805,Urban
13,,,Recreation and culture,96.90699683062304,Urban
13,,,Education,53.18848345055635,Urban
13,,,Restaurants and hotels,86.70924508048942,Urban
13,,,Miscellaneous goods and services,86.05503850330834,Urban
14,,,GENERAL INDEX (CPI),83.39305194337034,Urban
14,,,Food and non-alcoholic beverages,78.12130731285086,Urban
14,,,Bread and cereals ,85.84723358866795,Urban
14,,,Meat,81.97215627004626,Urban
14,,,"Milk, cheese and eggs",64.35202804708075,Urban
14,,,Vegetables ,74.88820405244981,Urban
14,,,Non-alcoholic beverages ,82.8784039333029,Urban
14,,,Alcoholic beverages and tobacco,83.0247234953114,Urban
14,,,Clothing and footwear,85.08802537520711,Urban
14,,,"Housing, water, electricity, gas and other fuels",89.24230795547277,Urban
14,,,"Furnishing, household equipment and routine household maintenance ",92.37249168009104,Urban
14,,,Health,89.44907542925519,Urban
14,,,Transport,87.38625595857714,Urban
14,,,Communication,110.0520990631367,Urban
14,,,Recreation and culture,96.76805929204309,Urban
14,,,Education,56.878796377454485,Urban
14,,,Restaurants and hotels,87.52259945695121,Urban
14,,,Miscellaneous goods and services,85.69361823939224,Urban
15,,,GENERAL INDEX (CPI),83.719980559458,Urban
15,,,Food and non-alcoholic beverages,78.9202846045318,Urban
15,,,Bread and cereals ,85.3052671923995,Urban
15,,,Meat,80.78934572156837,Urban
15,,,"Milk, cheese and eggs",63.76064377871081,Urban
15,,,Vegetables ,78.41238769739726,Urban
15,,,Non-alcoholic beverages ,82.170248178874,Urban
15,,,Alcoholic beverages and tobacco,85.87518048978139,Urban
15,,,Clothing and footwear,85.12904047191205,Urban
15,,,"Housing, water, electricity, gas and other fuels",89.07771233145192,Urban
15,,,"Furnishing, household equipment and routine household maintenance ",91.56685961266605,Urban
15,,,Health,89.53860559705222,Urban
15,,,Transport,87.51642155286179,Urban
15,,,Communication,109.9605961032363,Urban
15,,,Recreation and culture,96.47054366281888,Urban
15,,,Education,56.60157196509081,Urban
15,,,Restaurants and hotels,88.20978187004673,Urban
15,,,Miscellaneous goods and services,85.30108169855038,Urban
16,,,GENERAL INDEX (CPI),84.18368962399595,Urban
16,,,Food and non-alcoholic beverages,79.56572680639836,Urban
16,,,Bread and cereals ,83.41036036604301,Urban
16,,,Meat,81.61410243073031,Urban
16,,,"Milk, cheese and eggs",65.58311439427239,Urban
16,,,Vegetables ,81.02141753613355,Urban
16,,,Non-alcoholic beverages ,83.13905910847562,Urban
16,,,Alcoholic beverages and tobacco,85.99264841166305,Urban
16,,,Clothing and footwear,85.27314459963296,Urban
16,,,"Housing, water, electricity, gas and other fuels",90.02539715073947,Urban
16,,,"Furnishing, household equipment and routine household maintenance ",92.22959672882227,Urban
16,,,Health,89.91006026004726,Urban
16,,,Transport,87.6676558966127,Urban
16,,,Communication,110.28569929959716,Urban
16,,,Recreation and culture,97.42505318230356,Urban
16,,,Education,56.60157196509081,Urban
16,,,Restaurants and hotels,87.08874522814757,Urban
16,,,Miscellaneous goods and services,85.42282401354,Urban
17,,,GENERAL INDEX (CPI),84.6361490717438,Urban
17,,,Food and non-alcoholic beverages,80.00672016990256,Urban
17,,,Bread and cereals ,82.40850368732501,Urban
17,,,Meat,81.54914646444225,Urban
17,,,"Milk, cheese and eggs",67.14788320907128,Urban
17,,,Vegetables ,82.96274403412285,Urban
17,,,Non-alcoholic beverages ,82.1886437433334,Urban
17,,,Alcoholic beverages and tobacco,86.26651519531501,Urban
17,,,Clothing and footwear,84.95782213076015,Urban
17,,,"Housing, water, electricity, gas and other fuels",90.93170751363996,Urban
17,,,"Furnishing, household equipment and routine household maintenance ",92.08825769127208,Urban
17,,,Health,89.37197164267418,Urban
17,,,Transport,87.99712754782769,Urban
17,,,Communication,109.94566730593323,Urban
17,,,Recreation and culture,97.62372424172082,Urban
17,,,Education,56.60157196509081,Urban
17,,,Restaurants and hotels,88.62945030161693,Urban
17,,,Miscellaneous goods and services,85.5335061977443,Urban
18,,,GENERAL INDEX (CPI),84.90529961858297,Urban
18,,,Food and non-alcoholic beverages,80.04790132486478,Urban
18,,,Bread and cereals ,80.84816532639765,Urban
18,,,Meat,81.64389062396941,Urban
18,,,"Milk, cheese and eggs",69.28909767020673,Urban
18,,,Vegetables ,83.58879980560612,Urban
18,,,Non-alcoholic beverages ,82.28059263842943,Urban
18,,,Alcoholic beverages and tobacco,85.03025065845655,Urban
18,,,Clothing and footwear,84.99091799383085,Urban
18,,,"Housing, water, electricity, gas and other fuels",92.39641949600937,Urban
18,,,"Furnishing, household equipment and routine household maintenance ",92.02513078287541,Urban
18,,,Health,89.56380518041065,Urban
18,,,Transport,87.94627939950455,Urban
18,,,Communication,110.524328980226,Urban
18,,,Recreation and culture,96.79948360674956,Urban
18,,,Education,56.60157196509081,Urban
18,,,Restaurants and hotels,88.48483396789361,Urban
18,,,Miscellaneous goods and services,85.82995195425069,Urban
19,,,GENERAL INDEX (CPI),84.19751008241401,Urban
19,,,Food and non-alcoholic beverages,78.47095315312505,Urban
19,,,Bread and cereals ,77.63180051354273,Urban
19,,,Meat,81.89400562281992,Urban
19,,,"Milk, cheese and eggs",71.50830257366474,Urban
19,,,Vegetables ,84.40613821811102,Urban
19,,,Non-alcoholic beverages ,81.75784751377351,Urban
19,,,Alcoholic beverages and tobacco,84.35793250058708,Urban
19,,,Clothing and footwear,85.52802406953747,Urban
19,,,"Housing, water, electricity, gas and other fuels",91.81208438649166,Urban
19,,,"Furnishing, household equipment and routine household maintenance ",91.11702373612243,Urban
19,,,Health,88.4339790662743,Urban
19,,,Transport,88.00954942665193,Urban
19,,,Communication,110.67046218193467,Urban
19,,,Recreation and culture,96.21628837341109,Urban
19,,,Education,56.60157196509081,Urban
19,,,Restaurants and hotels,88.7808358156891,Urban
19,,,Miscellaneous goods and services,86.90431181549037,Urban
20,,,GENERAL INDEX (CPI),84.259242763742,Urban
20,,,Food and non-alcoholic beverages,78.61152995434124,Urban
20,,,Bread and cereals ,74.79942765081164,Urban
20,,,Meat,82.24589735996001,Urban
20,,,"Milk, cheese and eggs",69.1617858396995,Urban
20,,,Vegetables ,85.23102194854782,Urban
20,,,Non-alcoholic beverages ,83.42727211658001,Urban
20,,,Alcoholic beverages and tobacco,85.55256210276895,Urban
20,,,Clothing and footwear,85.52253870554557,Urban
20,,,"Housing, water, electricity, gas and other fuels",91.923387424667,Urban
20,,,"Furnishing, household equipment and routine household maintenance ",90.81310799289017,Urban
20,,,Health,87.96818704743798,Urban
20,,,Transport,87.88038048510002,Urban
20,,,Communication,110.51331672421804,Urban
20,,,Recreation and culture,96.12962593008959,Urban
20,,,Education,56.64572878985661,Urban
20,,,Restaurants and hotels,88.45405976479408,Urban
20,,,Miscellaneous goods and services,87.23139187305058,Urban
21,,,GENERAL INDEX (CPI),85.29358817668188,Urban
21,,,Food and non-alcoholic beverages,81.18298126321972,Urban
21,,,Bread and cereals ,74.68943262457434,Urban
21,,,Meat,83.02152337994913,Urban
21,,,"Milk, cheese and eggs",70.31587188153243,Urban
21,,,Vegetables ,92.04887307887566,Urban
21,,,Non-alcoholic beverages ,81.84318274330734,Urban
21,,,Alcoholic beverages and tobacco,85.2128915048353,Urban
21,,,Clothing and footwear,85.51681152732671,Urban
21,,,"Housing, water, electricity, gas and other fuels",92.61132015452762,Urban
21,,,"Furnishing, household equipment and routine household maintenance ",90.50203354191501,Urban
21,,,Health,87.8357955718776,Urban
21,,,Transport,88.1413931196098,Urban
21,,,Communication,111.10573205615539,Urban
21,,,Recreation and culture,95.66463000617209,Urban
21,,,Education,56.64572878985661,Urban
21,,,Restaurants and hotels,87.26920034521315,Urban
21,,,Miscellaneous goods and services,86.7110634801196,Urban
22,,,GENERAL INDEX (CPI),84.89527024380652,Urban
22,,,Food and non-alcoholic beverages,79.87414643020165,Urban
22,,,Bread and cereals ,73.37928653034037,Urban
22,,,Meat,85.24074541467336,Urban
22,,,"Milk, cheese and eggs",69.86623290277826,Urban
22,,,Vegetables ,87.06941365604325,Urban
22,,,Non-alcoholic beverages ,81.21413858871935,Urban
22,,,Alcoholic beverages and tobacco,85.62234953883559,Urban
22,,,Clothing and footwear,85.84254539813352,Urban
22,,,"Housing, water, electricity, gas and other fuels",92.98463512802832,Urban
22,,,"Furnishing, household equipment and routine household maintenance ",89.82192557652594,Urban
22,,,Health,88.0558649566487,Urban
22,,,Transport,88.418534300264,Urban
22,,,Communication,109.65325888079408,Urban
22,,,Recreation and culture,97.10389555281672,Urban
22,,,Education,56.64882684751632,Urban
22,,,Restaurants and hotels,87.22740337027737,Urban
22,,,Miscellaneous goods and services,86.38629228191256,Urban
23,,,GENERAL INDEX (CPI),85.48608629741797,Urban
23,,,Food and non-alcoholic beverages,81.00360107629821,Urban
23,,,Bread and cereals ,76.12655732734395,Urban
23,,,Meat,85.40189513002878,Urban
23,,,"Milk, cheese and eggs",71.21331063000339,Urban
23,,,Vegetables ,85.96810201904711,Urban
23,,,Non-alcoholic beverages ,82.76852228633153,Urban
23,,,Alcoholic beverages and tobacco,86.31487911402075,Urban
23,,,Clothing and footwear,86.18502388094166,Urban
23,,,"Housing, water, electricity, gas and other fuels",92.52492446678426,Urban
23,,,"Furnishing, household equipment and routine household maintenance ",90.60608963429239,Urban
23,,,Health,87.88550630641845,Urban
23,,,Transport,89.90728866571288,Urban
23,,,Communication,107.73696495950958,Urban
23,,,Recreation and culture,97.41591977420191,Urban
23,,,Education,56.64882684751632,Urban
23,,,Restaurants and hotels,86.99895733606154,Urban
23,,,Miscellaneous goods and services,88.03179847141473,Urban
24,,,GENERAL INDEX (CPI),84.56147820709192,Urban
24,,,Food and non-alcoholic beverages,79.0782663132846,Urban
24,,,Bread and cereals ,77.10674230568115,Urban
24,,,Meat,86.27571490277057,Urban
24,,,"Milk, cheese and eggs",70.6737167848032,Urban
24,,,Vegetables ,78.00729408914697,Urban
24,,,Non-alcoholic beverages ,81.57718728786587,Urban
24,,,Alcoholic beverages and tobacco,86.12605379902347,Urban
24,,,Clothing and footwear,86.61491083867026,Urban
24,,,"Housing, water, electricity, gas and other fuels",91.51967732112364,Urban
24,,,"Furnishing, household equipment and routine household maintenance ",90.0929290820331,Urban
24,,,Health,87.5242486705893,Urban
24,,,Transport,90.49813113366913,Urban
24,,,Communication,108.05842734206102,Urban
24,,,Recreation and culture,96.67488549735023,Urban
24,,,Education,56.651704781325876,Urban
24,,,Restaurants and hotels,86.10051091011952,Urban
24,,,Miscellaneous goods and services,88.00972259468051,Urban
25,,,GENERAL INDEX (CPI),84.6814779572378,Urban
25,,,Food and non-alcoholic beverages,77.9296183951176,Urban
25,,,Bread and cereals ,77.18164087336892,Urban
25,,,Meat,86.61264968179837,Urban
25,,,"Milk, cheese and eggs",70.06922699025205,Urban
25,,,Vegetables ,73.43839972351257,Urban
25,,,Non-alcoholic beverages ,83.36053776996297,Urban
25,,,Alcoholic beverages and tobacco,85.07497329182196,Urban
25,,,Clothing and footwear,87.86383607527041,Urban
25,,,"Housing, water, electricity, gas and other fuels",91.55167500528887,Urban
25,,,"Furnishing, household equipment and routine household maintenance ",91.31302138086929,Urban
25,,,Health,88.75125981736274,Urban
25,,,Transport,90.3823606496353,Urban
25,,,Communication,108.05842734206102,Urban
25,,,Recreation and culture,97.50845428333302,Urban
25,,,Education,63.40817922279763,Urban
25,,,Restaurants and hotels,87.43217256382799,Urban
25,,,Miscellaneous goods and services,89.20178640284685,Urban
26,,,GENERAL INDEX (CPI),85.52943483573584,Urban
26,,,Food and non-alcoholic beverages,78.81311440817252,Urban
26,,,Bread and cereals ,78.1642729415983,Urban
26,,,Meat,86.93099446678968,Urban
26,,,"Milk, cheese and eggs",73.3391516286169,Urban
26,,,Vegetables ,74.58859003658708,Urban
26,,,Non-alcoholic beverages ,82.96240437095885,Urban
26,,,Alcoholic beverages and tobacco,86.46037238706697,Urban
26,,,Clothing and footwear,88.97193541506195,Urban
26,,,"Housing, water, electricity, gas and other fuels",91.9440806513573,Urban
26,,,"Furnishing, household equipment and routine household maintenance ",91.18628451106443,Urban
26,,,Health,88.43370585323655,Urban
26,,,Transport,90.87381677143358,Urban
26,,,Communication,111.47812797369667,Urban
26,,,Recreation and culture,98.780888636382,Urban
26,,,Education,67.52118416405322,Urban
26,,,Restaurants and hotels,87.24396964396423,Urban
26,,,Miscellaneous goods and services,89.54156245633936,Urban
27,,,GENERAL INDEX (CPI),87.15897250311897,Urban
27,,,Food and non-alcoholic beverages,82.25017381482014,Urban
27,,,Bread and cereals ,82.18696011894761,Urban
27,,,Meat,86.90084803793175,Urban
27,,,"Milk, cheese and eggs",73.56457040117762,Urban
27,,,Vegetables ,81.93425191901045,Urban
27,,,Non-alcoholic beverages ,82.81043452347008,Urban
27,,,Alcoholic beverages and tobacco,85.32283253794044,Urban
27,,,Clothing and footwear,88.7875342315215,Urban
27,,,"Housing, water, electricity, gas and other fuels",92.24033716545175,Urban
27,,,"Furnishing, household equipment and routine household maintenance ",91.69723559597581,Urban
27,,,Health,88.92564696581124,Urban
27,,,Transport,91.95039480922502,Urban
27,,,Communication,112.1752262570134,Urban
27,,,Recreation and culture,100.9886629809391,Urban
27,,,Education,67.87099985026708,Urban
27,,,Restaurants and hotels,87.40405783904578,Urban
27,,,Miscellaneous goods and services,91.25633638944686,Urban
28,,,GENERAL INDEX (CPI),88.37678349234378,Urban
28,,,Food and non-alcoholic beverages,84.53826362407092,Urban
28,,,Bread and cereals ,85.65991572621397,Urban
28,,,Meat,88.09617466954538,Urban
28,,,"Milk, cheese and eggs",74.76347345206506,Urban
28,,,Vegetables ,84.57396324126357,Urban
28,,,Non-alcoholic beverages ,82.66763282685064,Urban
28,,,Alcoholic beverages and tobacco,85.58883329131535,Urban
28,,,Clothing and footwear,89.01173276863493,Urban
28,,,"Housing, water, electricity, gas and other fuels",92.76134041554367,Urban
28,,,"Furnishing, household equipment and routine household maintenance ",92.26196699962985,Urban
28,,,Health,88.60605030958443,Urban
28,,,Transport,94.19008671870691,Urban
28,,,Communication,110.55384563563324,Urban
28,,,Recreation and culture,101.22851019074784,Urban
28,,,Education,67.87099985026708,Urban
28,,,Restaurants and hotels,87.19169365864792,Urban
28,,,Miscellaneous goods and services,90.78557535260995,Urban
29,,,GENERAL INDEX (CPI),88.48140569978106,Urban
29,,,Food and non-alcoholic beverages,83.76136850265937,Urban
29,,,Bread and cereals ,88.79296564480414,Urban
29,,,Meat,87.42030187956529,Urban
29,,,"Milk, cheese and eggs",78.79307601176384,Urban
29,,,Vegetables ,79.8062636026688,Urban
29,,,Non-alcoholic beverages ,83.1134701270533,Urban
29,,,Alcoholic beverages and tobacco,85.8364021133637,Urban
29,,,Clothing and footwear,90.60119880742133,Urban
29,,,"Housing, water, electricity, gas and other fuels",93.43837575862256,Urban
29,,,"Furnishing, household equipment and routine household maintenance ",92.49393448060147,Urban
29,,,Health,88.57360759739632,Urban
29,,,Transport,95.00619139169244,Urban
29,,,Communication,111.99106844868085,Urban
29,,,Recreation and culture,101.600028236426,Urban
29,,,Education,67.87099985026708,Urban
29,,,Restaurants and hotels,88.29207276110898,Urban
29,,,Miscellaneous goods and services,90.52325352571407,Urban
30,,,GENERAL INDEX (CPI),89.84667171760435,Urban
30,,,Food and non-alcoholic beverages,85.77743161743665,Urban
30,,,Bread and cereals ,94.231288995201,Urban
30,,,Meat,87.71595276493518,Urban
30,,,"Milk, cheese and eggs",80.40468060381203,Urban
30,,,Vegetables ,81.23771794272726,Urban
30,,,Non-alcoholic beverages ,84.65657752845824,Urban
30,,,Alcoholic beverages and tobacco,86.29069876309622,Urban
30,,,Clothing and footwear,90.68210162030091,Urban
30,,,"Housing, water, electricity, gas and other fuels",94.32512669744462,Urban
30,,,"Furnishing, household equipment and routine household maintenance ",92.44238966517506,Urban
30,,,Health,89.35905190512649,Urban
